game_date,site,team,tdiv,opponent,odiv,win,lose,w3,w4,w5,l3,l4,l5,e_m,e_w3,e_w4,e_w5,e_l3,e_l4,e_l5
2017-02-04,Away,Bard,D3,Elms,D3,0.003,0.997,0.000,0.001,0.002,0.829,0.151,0.017,130.5,142.3,182.8,204.1,121.7,169.1,200.0
2017-02-08,Home,Bard,D3,NYU,D3,0.002,0.998,0.000,0.000,0.002,0.847,0.137,0.014,128.8,142.5,182.8,203.9,121.1,168.6,199.6
2017-02-03,Home,Barton,D1,Erskine,D1,0.990,0.010,0.737,0.214,0.039,0.001,0.002,0.007,138.0,124.2,171.3,201.5,141.4,182.8,204.9
2017-02-04,Home,Barton,D1,Emmanuel (GA),D1,0.917,0.083,0.476,0.313,0.128,0.011,0.025,0.048,158.3,129.1,175.5,204.1,139.1,182.2,206.1
2017-02-04,Away,Baruch,D3,Ramapo,D3,0.067,0.933,0.008,0.019,0.040,0.510,0.308,0.115,155.7,139.4,182.3,206.0,128.5,175.0,203.8
2017-02-09,Away,Baruch,D3,NYU,D3,0.052,0.948,0.006,0.015,0.032,0.549,0.299,0.101,152.7,139.8,182.4,205.9,127.9,174.5,203.5
2017-02-03,Away,Belmont Abbey,D1,Coker,D1,0.019,0.981,0.002,0.005,0.012,0.680,0.246,0.055,142.5,140.9,182.7,205.3,125.5,172.4,202.2
2017-02-04,Home,Belmont Abbey,D1,King (TN),D1,0.092,0.908,0.012,0.028,0.053,0.458,0.315,0.135,159.7,139.0,182.1,206.2,129.4,175.7,204.2
2017-02-07,Home,Belmont Abbey,D1,Pfeiffer,D1,0.943,0.057,0.537,0.302,0.105,0.007,0.016,0.034,153.7,128.1,174.6,203.6,139.7,182.4,206.0
2017-02-03,Home,Benedictine (IL),D3,Dominican (IL),D3,0.949,0.051,0.551,0.298,0.100,0.006,0.014,0.031,152.6,127.8,174.4,203.5,139.8,182.4,205.9
2017-02-08,Home,Brooklyn,D3,St. Joseph's (Brkln),D3,1.000,0.000,0.999,0.001,0.000,0.000,0.000,0.000,103.9,103.9,152.9,188.0,147.0,181.6,196.6
2017-02-03,Home,BYU,D1,UCLA,D1,0.410,0.590,0.091,0.150,0.169,0.167,0.225,0.198,177.8,135.7,180.4,206.4,134.0,179.3,206.1
2017-02-04,Home,BYU,D1,UCLA,D1,0.410,0.590,0.091,0.150,0.169,0.167,0.225,0.198,177.8,135.7,180.4,206.4,134.0,179.3,206.1
2017-02-07,Away,Cairn,D3,New Jersey City,D3,0.646,0.354,0.198,0.248,0.200,0.073,0.127,0.154,176.7,133.5,178.9,205.9,136.2,180.7,206.4
2017-02-03,Home,California Baptist,D1,Grand Canyon,D1,0.448,0.552,0.104,0.166,0.178,0.148,0.209,0.195,178.3,135.3,180.1,206.3,134.4,179.5,206.1
2017-02-04,Home,Carthage,D3,Lakeland,D3,0.959,0.041,0.582,0.288,0.088,0.004,0.011,0.025,150.1,127.3,174.0,203.2,140.0,182.5,205.8
2017-02-04,Home,CCNY,D3,Wilkes,D3,0.243,0.757,0.042,0.083,0.118,0.276,0.289,0.192,172.5,137.2,181.2,206.5,132.2,177.9,205.5
2017-02-04,Home,CCNY,D3,Purchase,D3,0.541,0.459,0.143,0.205,0.193,0.109,0.170,0.180,178.4,134.5,179.6,206.2,135.2,180.1,206.3
2017-02-04,Home,Coker,D1,North Greenville,D1,0.929,0.071,0.502,0.309,0.118,0.009,0.021,0.041,156.3,128.6,175.1,203.9,139.4,182.3,206.1
2017-02-07,Home,Coker,D1,Erskine,D1,0.979,0.021,0.667,0.253,0.060,0.002,0.005,0.014,143.5,125.7,172.6,202.3,140.8,182.7,205.4
2017-02-03,Home,Concordia (CA),D1,Princeton,D1,0.676,0.324,0.217,0.260,0.200,0.064,0.115,0.145,175.8,133.2,178.6,205.8,136.4,180.8,206.5
2017-02-04,Home,Concordia (CA),D1,Grand Canyon,D1,0.578,0.422,0.161,0.220,0.197,0.095,0.155,0.172,178.0,134.2,179.3,206.1,135.6,180.3,206.4
