year	year_id	team_id	team_name	jersey_number	summary_type	class_year	height	games_played	games_started	s	ms	kills	errors	total_attacks	pct	assists	aces	serr	diggs	rerr	block_solos	block_assists	berr	pts	bhe	tripl_dbl
2015	12100	1072	Erskine	-	Totals	-	-	-	-	85	 	1,174	465	2,408	0.294	1,102	134	320	838	81	29	258	34	1,466.0	8	23
2015	12100	1072	Erskine	-	Opponent Totals	-	-	-	-	85	 	814	336	1,997	0.239	761	63	240	601	113	43	233	28	1,036.5	11	21
2015	12100	248	George Mason	-	Totals	-	-	-	-	63	 	736	302	1,690	0.257	683	88	254	499	84	36	219	15	969.5	5	18
2015	12100	248	George Mason	-	Opponent Totals	-	-	-	-	63	 	769	320	1,701	0.264	721	84	243	552	87	38	152	23	967.0	6	18
2015	12100	1104	Grand Canyon	-	Totals	-	-	-	-	95	 	1,122	434	2,571	0.268	1,064	133	336	833	108	46	416	25	1,509.0	9	24
2015	12100	1104	Grand Canyon	-	Opponent Totals	-	-	-	-	95	 	1,162	511	2,657	0.245	1,091	108	308	851	133	33	328	35	1,467.0	12	24
2015	12100	275	Harvard	-	Totals	-	-	-	-	65	 	782	284	1,756	0.284	743	49	185	631	92	43	242	17	995.0	6	18
2015	12100	275	Harvard	-	Opponent Totals	-	-	-	-	65	 	844	385	2,005	0.229	784	92	261	581	49	54	170	24	1,075.0	 	18
2015	12100	277	Hawaii	-	Totals	-	-	-	-	90	 	1,227	404	2,583	0.319	1,160	118	327	865	83	45	430	55	1,605.0	8	24
2015	12100	277	Hawaii	-	Opponent Totals	-	-	-	-	90	 	1,036	506	2,584	0.205	977	83	311	781	118	36	350	55	1,330.0	8	24
2015	12100	30175	Holy Names	-	Totals	-	-	-	-	50	 	473	286	1,405	0.133	450	35	158	457	98	19	103	19	578.5	16	14
2015	12100	30175	Holy Names	-	Opponent Totals	-	-	-	-	50	 	582	229	1,362	0.259	535	98	149	539	35	25	165	33	787.5	16	14
2015	12100	308	IPFW	-	Totals	-	-	-	-	92	 	1,180	468	2,675	0.266	1,087	115	343	832	103	29	283	34	1,465.5	13	25
2015	12100	308	IPFW	-	Opponent Totals	-	-	-	-	92	 	1,093	402	2,476	0.279	1,044	103	368	834	115	68	310	28	1,419.0	11	25
2015	12100	30051	King (TN)	-	Totals	-	-	-	-	86	 	990	400	2,453	0.241	914	121	256	806	97	44	256	57	1,283.0	19	23
2015	12100	30051	King (TN)	-	Opponent Totals	-	-	-	-	86	 	1,118	495	2,571	0.242	1,051	81	285	953	116	40	245	61	1,361.5	44	23
2015	12100	13302	Lees-McRae	-	Totals	-	-	-	-	59	 	634	349	1,512	0.188	591	73	202	420	98	18	119	36	784.5	9	17
2015	12100	13302	Lees-McRae	-	Opponent Totals	-	-	-	-	59	 	705	221	1,433	0.338	653	98	218	463	73	30	239	48	952.5	6	17
2015	12100	354	Lewis	-	Totals	-	-	-	-	74	 	933	268	1,941	0.343	869	112	248	609	54	53	373	28	1,284.5	8	21
2015	12100	354	Lewis	-	Opponent Totals	-	-	-	-	74	 	870	434	2,073	0.210	810	54	292	632	112	25	224	19	1,061.0	20	21
2015	12100	1174	Limestone	-	Totals	-	-	-	-	79	 	751	416	2,036	0.165	710	66	208	703	146	72	202	47	990.0	16	22
2015	12100	1174	Limestone	-	Opponent Totals	-	-	-	-	79	 	967	423	2,220	0.245	890	146	302	735	66	50	228	35	1,277.0	17	22
2015	12100	30136	Lindenwood (MO)	-	Totals	-	-	-	-	67	 	796	343	1,815	0.250	735	96	275	550	83	33	227	24	1,038.5	15	18
2015	12100	30136	Lindenwood (MO)	-	Opponent Totals	-	-	-	-	67	 	754	336	1,758	0.238	712	83	244	542	96	23	244	22	982.0	12	18
2015	12100	99	Long Beach St.	-	Totals	-	-	-	-	84	 	969	441	2,470	0.214	927	97	271	849	74	37	421	53	1,313.5	7	24
2015	12100	99	Long Beach St.	-	Opponent Totals	-	-	-	-	84	 	1,075	480	2,614	0.228	1,006	74	324	855	97	27	370	36	1,361.0	4	24
2015	12100	371	Loyola Chicago	-	Totals	-	-	-	-	63	 	865	259	1,655	0.366	809	98	267	558	58	35	293	12	1,144.5	8	19
2015	12100	371	Loyola Chicago	-	Opponent Totals	-	-	-	-	63	 	634	355	1,653	0.169	603	58	218	443	98	22	143	15	785.5	3	19
2015	12100	30138	McKendree	-	Totals	-	-	-	-	85	 	965	453	2,138	0.239	916	103	320	622	118	45	252	43	1,239.0	23	23
2015	12100	30138	McKendree	-	Opponent Totals	-	-	-	-	85	 	975	418	2,146	0.260	902	118	345	592	103	44	273	22	1,273.5	21	23
2015	12100	1245	Mount Olive	-	Totals	-	-	-	-	75	 	891	391	2,110	0.237	830	112	221	703	74	28	294	44	1,178.0	10	19
2015	12100	1245	Mount Olive	-	Opponent Totals	-	-	-	-	75	 	859	392	2,070	0.226	801	74	236	697	112	33	223	49	1,077.5	11	19
2015	12100	471	NJIT	-	Totals	-	-	-	-	65	 	787	339	1,756	0.255	743	86	254	523	83	45	178	32	1,007.0	4	17
2015	12100	471	NJIT	-	Opponent Totals	-	-	-	-	65	 	730	302	1,667	0.257	690	82	229	510	86	32	229	29	958.5	18	17
2015	12100	9223	North Greenville	-	Totals	-	-	-	-	89	 	890	454	2,350	0.186	827	81	248	814	151	53	177	95	1,112.5	3	22
2015	12100	9223	North Greenville	-	Opponent Totals	-	-	-	-	89	 	1,059	424	2,413	0.263	984	151	291	843	81	46	266	104	1,389.0	12	23
2015	12100	518	Ohio St.	-	Totals	-	-	-	-	86	 	1,074	379	2,213	0.314	992	163	386	673	94	60	264	44	1,429.0	9	23
2015	12100	518	Ohio St.	-	Opponent Totals	-	-	-	-	86	 	922	432	2,179	0.225	863	94	332	636	163	33	334	24	1,216.0	10	23
2015	12100	24361	P.R.-Mayaguez	-	Opponent Totals	-	-	-	-	7	 	83	34	217	0.226	77	5	22	76	11	11	34	10	116.0	4	2
2015	12100	2716	P.R.-Rio Piedras	-	Totals	-	-	-	-	8	 	 	 	 	""	 	11	 	 	4	 	 	 	11.0	 	 
2015	12100	2716	P.R.-Rio Piedras	-	Opponent Totals	-	-	-	-	8	 	111	39	279	0.258	100	15	26	87	22	18	36	11	162.0	1	2
2015	12100	539	Penn St.	-	Totals	-	-	-	-	77	 	992	413	2,126	0.272	934	110	249	737	81	32	227	26	1,247.5	9	21
2015	12100	539	Penn St.	-	Opponent Totals	-	-	-	-	77	 	880	330	2,056	0.268	832	81	299	601	110	32	338	35	1,162.0	14	21
2015	12100	541	Pepperdine	-	Totals	-	-	-	-	88	 	1,179	352	2,451	0.337	1,112	118	295	847	79	39	379	36	1,525.5	9	23
2015	12100	541	Pepperdine	-	Opponent Totals	-	-	-	-	88	 	1,042	456	2,501	0.234	1,000	79	309	768	118	33	257	35	1,282.5	11	22
2015	12100	542	Pfeiffer	-	Totals	-	-	-	-	65	 	882	318	1,794	0.314	837	72	313	614	43	38	219	40	1,101.5	4	17
2015	12100	542	Pfeiffer	-	Opponent Totals	-	-	-	-	65	 	667	334	1,735	0.192	602	43	218	486	72	42	192	29	848.0	8	17
2015	12100	554	Princeton	-	Totals	-	-	-	-	60	 	713	292	1,554	0.271	668	96	307	416	74	37	216	23	954.0	3	17
2015	12100	554	Princeton	-	Opponent Totals	-	-	-	-	60	 	659	307	1,464	0.240	613	75	236	452	96	27	190	27	856.0	7	17
2015	12100	561	Quincy	-	Totals	-	-	-	-	85	 	992	456	2,338	0.229	915	106	360	823	118	61	247	19	1,282.5	20	22
2015	12100	561	Quincy	-	Opponent Totals	-	-	-	-	85	 	934	429	2,323	0.217	868	118	332	751	106	55	242	32	1,228.0	13	22
2015	12100	590	Sacred Heart	-	Totals	-	-	-	-	67	 	812	373	1,912	0.230	757	103	255	605	73	27	192	35	1,038.0	19	18
2015	12100	590	Sacred Heart	-	Opponent Totals	-	-	-	-	67	 	730	317	1,772	0.233	687	73	207	605	103	28	327	24	994.5	13	18
2015	12100	600	Saint Francis (PA)	-	Totals	-	-	-	-	70	 	730	385	1,839	0.188	679	58	240	545	118	25	181	25	903.5	11	20
2015	12100	600	Saint Francis (PA)	-	Opponent Totals	-	-	-	-	70	 	873	300	1,850	0.310	824	118	288	609	58	33	268	19	1,158.0	11	20
2015	12100	657	Southern California	-	Totals	-	-	-	-	86	 	1,074	438	2,444	0.260	1,025	119	312	809	96	37	303	37	1,381.5	5	21
2015	12100	657	Southern California	-	Opponent Totals	-	-	-	-	86	 	969	424	2,390	0.228	918	96	286	758	119	53	367	47	1,301.5	8	21
2015	12100	674	Stanford	-	Totals	-	-	-	-	81	 	969	430	2,298	0.235	908	107	291	738	79	24	290	40	1,245.0	6	22
2015	12100	674	Stanford	-	Opponent Totals	-	-	-	-	81	 	978	396	2,255	0.258	910	79	268	742	107	44	374	28	1,288.0	5	22
2015	12100	109	UC Irvine	-	Totals	-	-	-	-	90	 	1,246	391	2,428	0.352	1,173	138	388	781	89	53	342	54	1,608.0	6	24
2015	12100	109	UC Irvine	-	Opponent Totals	-	-	-	-	90	 	974	437	2,335	0.230	906	89	293	646	138	31	285	37	1,236.5	7	24
2015	12100	112	UC San Diego	-	Totals	-	-	-	-	76	 	736	453	2,161	0.131	697	58	225	671	117	31	228	33	939.0	11	23
2015	12100	112	UC San Diego	-	Opponent Totals	-	-	-	-	76	 	1,021	333	2,113	0.326	967	117	273	808	58	29	400	39	1,367.0	9	23
2015	12100	104	UC Santa Barbara	-	Totals	-	-	-	-	78	 	973	369	2,249	0.269	907	100	271	781	59	15	375	33	1,275.5	10	22
2015	12100	104	UC Santa Barbara	-	Opponent Totals	-	-	-	-	78	 	916	450	2,326	0.200	872	59	282	736	100	35	316	21	1,168.0	11	22
2015	12100	110	UCLA	-	Totals	-	-	-	-	81	 	962	398	2,318	0.243	919	124	376	718	94	24	381	37	1,300.5	2	22
2015	12100	110	UCLA	-	Opponent Totals	-	-	-	-	81	 	892	368	2,164	0.242	842	94	295	764	124	27	287	41	1,156.5	2	22
