year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2017	12582	938	Alvernia	8	1875295	Tierney, Mike	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1875295	So	5-8	45	0	45	1	1	""	3	""	14	2	17	14	""	1	2	1	""	5.0	""
2017	12582	938	Alvernia	1	1875288	Hartman, Dalton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1875288	Fr	6-1	39	0	39	9	11	6	45	0.111	287	3	12	36	""	4	7	3	""	21.5	4
2017	12582	938	Alvernia	4	1875291	Bulcavage, Evan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1875291	Sr	5-7	29	0	29	2	""	""	""	""	1	5	8	10	2	""	""	""	""	5.0	""
2017	12582	938	Alvernia	15	1875302	Wintle, Justin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1875302	Fr	6-4	13	0	13	3	7	12	36	-0.139	""	1	1	1	""	""	7	1	""	11.5	""
2017	12582	938	Alvernia	9	1875296	Grohoski, Craig	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1875296	Jr	5-10	10	0	10	""	1	""	1	""	""	2	5	6	""	""	""	""	""	3.0	""
2017	12582	966	Arcadia	15	1873172	Galloway, Bryce	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1873172	Fr	6-0	90	0	90	24	172	99	418	0.175	7	8	45	123	33	10	20	2	""	200.0	5
2017	12582	966	Arcadia	14	1873171	Moctezuma, Robie	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1873171	Fr	6-7	88	0	88	23	112	35	223	0.345	9	19	23	27	2	17	62	6	""	179.0	1
2017	12582	966	Arcadia	27	1873174	Braas, Austin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1873174	Fr	6-6	86	0	86	23	191	75	351	0.330	6	22	44	39	""	18	60	15	""	261.0	1
2017	12582	966	Arcadia	3	1873164	Waters Jr., Edwin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1873164	Fr	6-2	86	0	86	25	151	102	412	0.119	14	27	74	75	2	5	35	5	""	200.5	6
2017	12582	966	Arcadia	7	1873168	Manley, Jason	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1873168	Fr	6-5	84	0	84	22	259	146	637	0.177	5	39	76	131	25	13	35	7	""	328.5	2
2017	12582	966	Arcadia	2	1873163	George, Zayne	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1873163	Fr	5-10	81	0	81	1	1	2	11	-0.091	29	""	""	146	26	""	""	""	""	1.0	2
2017	12582	966	Arcadia	5	1873166	Cohen, Sean	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1873166	Sr	6-2	77	0	77	19	17	15	59	0.034	648	10	27	90	3	9	41	11	""	56.5	25
2017	12582	966	Arcadia	12	1873170	Pichler, Jarod	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1873170	Fr	6-2	65	0	65	3	46	27	125	0.152	1	9	13	54	10	""	6	2	""	58.0	""
2017	12582	966	Arcadia	11	1873169	Knotts, Aaron	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1873169	Fr	5-8	45	0	45	""	1	1	2	0.000	5	2	8	38	8	""	""	""	""	3.0	2
2017	12582	966	Arcadia	1	1873162	Abraham, Alvyn	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1873162	So	5-10	41	0	41	6	8	5	25	0.120	186	6	14	41	""	2	10	""	""	21.0	14
2017	12582	966	Arcadia	6	1873167	Giuffrida, Angelo	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1873167	Fr	6-0	40	0	40	3	8	6	25	0.080	1	6	12	14	1	3	11	""	""	22.5	""
2017	12582	966	Arcadia	26	1873173	Misal, Evan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1873173	Fr	6-1	33	0	33	1	25	15	70	0.143	""	5	8	20	9	2	""	1	""	32.0	""
2017	12582	966	Arcadia	4	1873165	Catala, Brandon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1873165	So	5-9	32	0	32	""	""	1	1	""	1	3	6	8	1	""	""	""	""	3.0	2
2017	12582	962	Bard	4	1865268	Kim, Josh	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1865268	Fr	5-7	81	0	81	8	4	9	24	-0.208	10	12	20	108	35	""	1	1	""	16.5	1
2017	12582	962	Bard	6	1865269	Kozul, Tristan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1865269	Fr	6-1	81	0	81	26	146	103	434	0.099	8	13	41	103	16	6	24	4	""	177.0	3
2017	12582	962	Bard	27	1650902	Zowaski, Tyler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1650902	Jr	5-11	80	0	80	21	83	84	313	-0.003	64	34	29	164	24	3	14	2	""	127.0	6
2017	12582	962	Bard	11	1650900	Briggs, Stefan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1650900	Jr	6-2	79	0	79	25	90	97	317	-0.022	7	21	50	66	16	3	13	10	""	120.5	2
2017	12582	962	Bard	9	1865267	Adams, Alex	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1865267	Sr	6-1	72	0	72	21	163	105	461	0.126	13	22	41	89	33	3	30	2	""	203.0	3
